"timepointn","timepoint","timepoint2n","timepoint2","trtn","trt","reftrtn","reftrt","analysistype","analysistype2","resulttype","resulttype2","resulttype3","result","round"
16,"Week 16",6,"Visit 6",2,"TRT1",1,"PBO","Percent change","%, MLOCF","Std Err","","",4.23524039209432,3
16,"Week 16",6,"Visit 6",3,"TRT2",1,"PBO","Percent change","%, MLOCF","Difference","","",0.20903374544037,3
16,"Week 16",6,"Visit 6",3,"TRT2",1,"PBO","Percent change","%, MLOCF","Std Err","","",3.64564568615272,3
16,"Week 16",6,"Visit 6",2,"TRT1",1,"PBO","Percent change","%, MLOCF","95% CI Low","","",-2.62881942325831,3
16,"Week 16",6,"Visit 6",2,"TRT1",1,"PBO","Percent change","%, MLOCF","95% CI High","","",-6.93228446849428,3
16,"Week 16",6,"Visit 6",3,"TRT2",1,"PBO","Percent change","%, MLOCF","95% CI Low","","",-3.51814752940752,3
16,"Week 16",6,"Visit 6",3,"TRT2",1,"PBO","Percent change","%, MLOCF","95% CI High","","",16.8785465510438,3
16,"Week 16",6,"Visit 6",2,"TRT1",1,"PBO","Percent change","%, MLOCF","p-value","","",0.440679667730472,3
16,"Week 16",6,"Visit 6",3,"TRT2",1,"PBO","Percent change","%, MLOCF","p-value","","",0.626173315107373,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","","Observed","Count","","",151,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","","Observed","Count","","",160,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","","Observed","Count","","",251,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","","Observed","Mean","","",-11.3899732193683,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","","Observed","Mean","","",143.304667874879,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","","Observed","Mean","","",68.6045516650691,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","","Observed","Min","","",0,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","","Observed","Min","","",0,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","","Observed","Min","","",0,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","","Observed","Median","","",63,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","","Observed","Median","","",45.7768916438155,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","","Observed","Median","","",77,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","","Observed","Max","","",100,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","","Observed","Max","","",100,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","","Observed","Max","","",100,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Change from baseline","Observed","Count","","",151,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Change from baseline","Observed","Count","","",160,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Change from baseline","Observed","Count","","",251,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Change from baseline","Observed","Mean","","",-68.1153366386319,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Change from baseline","Observed","Mean","","",-4.77519913484999,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Change from baseline","Observed","Mean","","",-28.2948759966914,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Change from baseline","Observed","Min","","",-98,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Change from baseline","Observed","Min","","",-100,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Change from baseline","Observed","Min","","",-100,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Change from baseline","Observed","Median","","",-13,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Change from baseline","Observed","Median","","",-7,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Change from baseline","Observed","Median","","",-10,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Change from baseline","Observed","Max","","",17,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Change from baseline","Observed","Max","","",45,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Change from baseline","Observed","Max","","",47,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Percent change","%, Observed","Count","","",151,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Percent change","%, Observed","Count","","",160,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Percent change","%, Observed","Count","","",251,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Percent change","%, Observed","Mean","","",-75.1572252248009,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Percent change","%, Observed","Mean","","",-42.6991623108443,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Percent change","%, Observed","Mean","","",-19.1553453814736,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Percent change","%, Observed","Min","","",-100,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Percent change","%, Observed","Min","","",-100,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Percent change","%, Observed","Min","","",-100,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Percent change","%, Observed","Median","","",-10.2632099396004,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Percent change","%, Observed","Median","","",-11.6350020256482,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Percent change","%, Observed","Median","","",-17.4632436299948,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Percent change","%, Observed","Max","","",22.2004176994724,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Percent change","%, Observed","Max","","",189.691279548274,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Percent change","%, Observed","Max","","",82.8413132218996,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Percent change","%, MLOCF","LS Mean","","",-8.52331368833178,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Percent change","%, MLOCF","Std Err","","",4.72627275855077,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Percent change","%, MLOCF","LS Mean","","",28.2426993967234,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Percent change","%, MLOCF","Std Err","","",4.10245870179629,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Percent change","%, MLOCF","LS Mean","","",-37.275421433383,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Percent change","%, MLOCF","Std Err","","",2.07162993508524,3
24,"Week 24",7,"Visit 7",1,"PBO",NA,"","Percent change","%, MLOCF","p-value","","",0,3
24,"Week 24",7,"Visit 7",2,"TRT1",NA,"","Percent change","%, MLOCF","p-value","","",0,3
24,"Week 24",7,"Visit 7",3,"TRT2",NA,"","Percent change","%, MLOCF","p-value","","",0,3
24,"Week 24",7,"Visit 7",2,"TRT1",1,"PBO","Percent change","%, MLOCF","Difference","","",-0.578503903709088,3
24,"Week 24",7,"Visit 7",2,"TRT1",1,"PBO","Percent change","%, MLOCF","Std Err","","",2.2682834193756,3
24,"Week 24",7,"Visit 7",3,"TRT2",1,"PBO","Percent change","%, MLOCF","Difference","","",9.0222746816192,3
24,"Week 24",7,"Visit 7",3,"TRT2",1,"PBO","Percent change","%, MLOCF","Std Err","","",0.883971603048332,3
24,"Week 24",7,"Visit 7",2,"TRT1",1,"PBO","Percent change","%, MLOCF","95% CI Low","","",3.22806647307187,3
24,"Week 24",7,"Visit 7",2,"TRT1",1,"PBO","Percent change","%, MLOCF","95% CI High","","",22.2921904341478,3
24,"Week 24",7,"Visit 7",3,"TRT2",1,"PBO","Percent change","%, MLOCF","95% CI Low","","",-1.61056307746052,3
24,"Week 24",7,"Visit 7",3,"TRT2",1,"PBO","Percent change","%, MLOCF","95% CI High","","",5.04097748540323,3
24,"Week 24",7,"Visit 7",2,"TRT1",1,"PBO","Percent change","%, MLOCF","p-value","","",-0.0405424797181765,3
24,"Week 24",7,"Visit 7",3,"TRT2",1,"PBO","Percent change","%, MLOCF","p-value","","",0.298091911899698,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","","Observed","Count","","",149,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","","Observed","Count","","",154,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","","Observed","Count","","",245,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","","Observed","Mean","","",93.5110729565053,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","","Observed","Mean","","",26.0475635270441,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","","Observed","Mean","","",22.7776755561933,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","","Observed","Min","","",0,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","","Observed","Min","","",0,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","","Observed","Min","","",0,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","","Observed","Median","","",49,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","","Observed","Median","","",79,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","","Observed","Median","","",65,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","","Observed","Max","","",100,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","","Observed","Max","","",100,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","","Observed","Max","","",100,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Change from baseline","Observed","Count","","",149,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Change from baseline","Observed","Count","","",154,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Change from baseline","Observed","Count","","",245,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Change from baseline","Observed","Mean","","",-63.7012768678278,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Change from baseline","Observed","Mean","","",-18.1526074652383,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Change from baseline","Observed","Mean","","",-22.92268182218,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Change from baseline","Observed","Min","","",-100,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Change from baseline","Observed","Min","","",-100,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Change from baseline","Observed","Min","","",-100,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Change from baseline","Observed","Median","","",-17,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Change from baseline","Observed","Median","","",-2.43244137022201,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Change from baseline","Observed","Median","","",-18,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Change from baseline","Observed","Max","","",42,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Change from baseline","Observed","Max","","",45,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Change from baseline","Observed","Max","","",47,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Percent change","%, Observed","Count","","",149,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Percent change","%, Observed","Count","","",154,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Percent change","%, Observed","Count","","",245,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Percent change","%, Observed","Mean","","",-71.0221754193121,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Percent change","%, Observed","Mean","","",-0.174932375469874,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Percent change","%, Observed","Mean","","",-62.573814345623,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Percent change","%, Observed","Min","","",-100,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Percent change","%, Observed","Min","","",-100,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Percent change","%, Observed","Min","","",-100,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Percent change","%, Observed","Median","","",-25,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Percent change","%, Observed","Median","","",-7,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Percent change","%, Observed","Median","","",-23,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Percent change","%, Observed","Max","","",137.889992976382,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Percent change","%, Observed","Max","","",43.5599234189002,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Percent change","%, Observed","Max","","",163.916518386787,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Percent change","%, MLOCF","LS Mean","","",-67.8645707952717,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Percent change","%, MLOCF","Std Err","","",5.40005214536377,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Percent change","%, MLOCF","LS Mean","","",-80.3607758110162,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Percent change","%, MLOCF","Std Err","","",-3.1614145644573,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Percent change","%, MLOCF","LS Mean","","",5.06419712035681,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Percent change","%, MLOCF","Std Err","","",-1.11336253092464,3
36,"Week 36",8,"Visit 8",1,"PBO",NA,"","Percent change","%, MLOCF","p-value","","",0,3
36,"Week 36",8,"Visit 8",2,"TRT1",NA,"","Percent change","%, MLOCF","p-value","","",0,3
36,"Week 36",8,"Visit 8",3,"TRT2",NA,"","Percent change","%, MLOCF","p-value","","",0,3
36,"Week 36",8,"Visit 8",2,"TRT1",1,"PBO","Percent change","%, MLOCF","Difference","","",8.86422218814427,3
36,"Week 36",8,"Visit 8",2,"TRT1",1,"PBO","Percent change","%, MLOCF","Std Err","","",10.832392067924,3
36,"Week 36",8,"Visit 8",3,"TRT2",1,"PBO","Percent change","%, MLOCF","Difference","","",9.24253500562114,3
36,"Week 36",8,"Visit 8",3,"TRT2",1,"PBO","Percent change","%, MLOCF","Std Err","","",5.72823826571254,3
36,"Week 36",8,"Visit 8",2,"TRT1",1,"PBO","Percent change","%, MLOCF","95% CI Low","","",-1.20017962311954,3
36,"Week 36",8,"Visit 8",2,"TRT1",1,"PBO","Percent change","%, MLOCF","95% CI High","","",13.5293342878528,3
36,"Week 36",8,"Visit 8",3,"TRT2",1,"PBO","Percent change","%, MLOCF","95% CI Low","","",-6.03260979437045,3
36,"Week 36",8,"Visit 8",3,"TRT2",1,"PBO","Percent change","%, MLOCF","95% CI High","","",15.1517199935259,3
36,"Week 36",8,"Visit 8",2,"TRT1",1,"PBO","Percent change","%, MLOCF","p-value","","",0.016863292592011,3
36,"Week 36",8,"Visit 8",3,"TRT2",1,"PBO","Percent change","%, MLOCF","p-value","","",0.261621630910024,3
